日历日(YYYY-MM-DD),日历日(MMDD),日历年(YYYY),门店ID,系统净零售数量
2015/1/1,101,2015,A00021S112,1199
2015/1/2,102,2015,A00021S112,670
2015/1/3,103,2015,A00021S112,342
2015/1/4,104,2015,A00021S112,193
2015/1/5,105,2015,A00021S112,104
2015/1/6,106,2015,A00021S112,106
2015/1/7,107,2015,A00021S112,106
2015/1/8,108,2015,A00021S112,109
2015/1/9,109,2015,A00021S112,119
2015/1/10,110,2015,A00021S112,307
2015/1/11,111,2015,A00021S112,448
2015/1/12,112,2015,A00021S112,148
2015/1/13,113,2015,A00021S112,141
2015/1/14,114,2015,A00021S112,110
2015/1/15,115,2015,A00021S112,190
2015/1/16,116,2015,A00021S112,199
2015/1/17,117,2015,A00021S112,456
2015/1/18,118,2015,A00021S112,613
2015/1/19,119,2015,A00021S112,216
2015/1/20,120,2015,A00021S112,166
2015/1/21,121,2015,A00021S112,223
2015/1/22,122,2015,A00021S112,220
2015/1/23,123,2015,A00021S112,192
2015/1/24,124,2015,A00021S112,415
2015/1/25,125,2015,A00021S112,492
2015/1/26,126,2015,A00021S112,216
2015/1/27,127,2015,A00021S112,196
2015/1/28,128,2015,A00021S112,218
2015/1/29,129,2015,A00021S112,113
2015/1/30,130,2015,A00021S112,225
2015/1/31,131,2015,A00021S112,442
2015/2/1,201,2015,A00021S112,642
2015/2/2,202,2015,A00021S112,252
2015/2/3,203,2015,A00021S112,261
2015/2/4,204,2015,A00021S112,255
2015/2/5,205,2015,A00021S112,280
2015/2/6,206,2015,A00021S112,355
2015/2/7,207,2015,A00021S112,636
2015/2/8,208,2015,A00021S112,821
2015/2/9,209,2015,A00021S112,377
2015/2/10,210,2015,A00021S112,402
2015/2/11,211,2015,A00021S112,346
2015/2/12,212,2015,A00021S112,376
2015/2/13,213,2015,A00021S112,406
2015/2/14,214,2015,A00021S112,716
2015/2/15,215,2015,A00021S112,392
2015/2/16,216,2015,A00021S112,441
2015/2/17,217,2015,A00021S112,352
2015/2/18,218,2015,A00021S112,177
2015/2/19,219,2015,A00021S112,241
2015/2/20,220,2015,A00021S112,165
2015/2/21,221,2015,A00021S112,197
2015/2/22,222,2015,A00021S112,227
2015/2/23,223,2015,A00021S112,235
2015/2/24,224,2015,A00021S112,188
2015/2/25,225,2015,A00021S112,137
2015/2/26,226,2015,A00021S112,153
2015/2/27,227,2015,A00021S112,67
2015/2/28,228,2015,A00021S112,74
2015/3/1,301,2015,A00021S112,254
2015/3/2,302,2015,A00021S112,97
2015/3/3,303,2015,A00021S112,97
2015/3/4,304,2015,A00021S112,111
2015/3/5,305,2015,A00021S112,45
2015/3/6,306,2015,A00021S112,118
2015/3/7,307,2015,A00021S112,247
2015/3/8,308,2015,A00021S112,263
2015/3/9,309,2015,A00021S112,94
2015/3/10,310,2015,A00021S112,100
2015/3/11,311,2015,A00021S112,113
2015/3/12,312,2015,A00021S112,118
2015/3/13,313,2015,A00021S112,187
2015/3/14,314,2015,A00021S112,307
2015/3/15,315,2015,A00021S112,391
2015/3/16,316,2015,A00021S112,127
2015/3/17,317,2015,A00021S112,131
2015/3/18,318,2015,A00021S112,115
2015/3/19,319,2015,A00021S112,174
2015/3/20,320,2015,A00021S112,137
2015/3/21,321,2015,A00021S112,446
2015/3/22,322,2015,A00021S112,567
2015/3/23,323,2015,A00021S112,144
2015/3/24,324,2015,A00021S112,233
2015/3/25,325,2015,A00021S112,218
2015/3/26,326,2015,A00021S112,138
2015/3/27,327,2015,A00021S112,113
2015/3/28,328,2015,A00021S112,508
2015/3/29,329,2015,A00021S112,569
2015/3/30,330,2015,A00021S112,167
2015/3/31,331,2015,A00021S112,287
2015/4/1,401,2015,A00021S112,297
2015/4/2,402,2015,A00021S112,206
2015/4/3,403,2015,A00021S112,175
2015/4/4,404,2015,A00021S112,490
2015/4/5,405,2015,A00021S112,462
2015/4/6,406,2015,A00021S112,207
2015/4/7,407,2015,A00021S112,76
2015/4/8,408,2015,A00021S112,128
2015/4/9,409,2015,A00021S112,107
2015/4/10,410,2015,A00021S112,178
2015/4/11,411,2015,A00021S112,401
2015/4/12,412,2015,A00021S112,416
2015/4/13,413,2015,A00021S112,121
2015/4/14,414,2015,A00021S112,147
2015/4/15,415,2015,A00021S112,205
2015/4/16,416,2015,A00021S112,137
2015/4/17,417,2015,A00021S112,186
2015/4/18,418,2015,A00021S112,379
2015/4/19,419,2015,A00021S112,377
2015/4/20,420,2015,A00021S112,123
2015/4/21,421,2015,A00021S112,175
2015/4/22,422,2015,A00021S112,167
2015/4/23,423,2015,A00021S112,154
2015/4/24,424,2015,A00021S112,174
2015/4/25,425,2015,A00021S112,333
2015/4/26,426,2015,A00021S112,509
2015/4/27,427,2015,A00021S112,195
2015/4/28,428,2015,A00021S112,209
2015/4/29,429,2015,A00021S112,192
2015/4/30,430,2015,A00021S112,270
2015/5/1,501,2015,A00021S112,1163
2015/5/2,502,2015,A00021S112,405
2015/5/3,503,2015,A00021S112,555
2015/5/4,504,2015,A00021S112,150
2015/5/5,505,2015,A00021S112,168
2015/5/6,506,2015,A00021S112,158
2015/5/7,507,2015,A00021S112,232
2015/5/8,508,2015,A00021S112,125
2015/5/9,509,2015,A00021S112,321
2015/5/10,510,2015,A00021S112,442
2015/5/11,511,2015,A00021S112,68
2015/5/12,512,2015,A00021S112,143
2015/5/13,513,2015,A00021S112,153
2015/5/14,514,2015,A00021S112,156
2015/5/15,515,2015,A00021S112,85
2015/5/16,516,2015,A00021S112,406
2015/5/17,517,2015,A00021S112,420
2015/5/18,518,2015,A00021S112,101
2015/5/19,519,2015,A00021S112,160
2015/5/20,520,2015,A00021S112,198
2015/5/21,521,2015,A00021S112,174
2015/5/22,522,2015,A00021S112,184
2015/5/23,523,2015,A00021S112,299
2015/5/24,524,2015,A00021S112,322
2015/5/25,525,2015,A00021S112,159
2015/5/26,526,2015,A00021S112,125
2015/5/27,527,2015,A00021S112,97
2015/5/28,528,2015,A00021S112,118
2015/5/29,529,2015,A00021S112,129
2015/5/30,530,2015,A00021S112,238
2015/5/31,531,2015,A00021S112,333
2015/6/1,601,2015,A00021S112,141
2015/6/2,602,2015,A00021S112,60
2015/6/3,603,2015,A00021S112,119
2015/6/4,604,2015,A00021S112,95
2015/6/5,605,2015,A00021S112,146
2015/6/6,606,2015,A00021S112,297
2015/6/7,607,2015,A00021S112,324
2015/6/8,608,2015,A00021S112,88
2015/6/9,609,2015,A00021S112,154
2015/6/10,610,2015,A00021S112,144
2015/6/11,611,2015,A00021S112,149
2015/6/12,612,2015,A00021S112,199
2015/6/13,613,2015,A00021S112,319
2015/6/14,614,2015,A00021S112,426
2015/6/15,615,2015,A00021S112,83
2015/6/16,616,2015,A00021S112,65
2015/6/17,617,2015,A00021S112,98
2015/6/18,618,2015,A00021S112,172
2015/6/19,619,2015,A00021S112,205
2015/6/20,620,2015,A00021S112,572
2015/6/21,621,2015,A00021S112,335
2015/6/22,622,2015,A00021S112,199
2015/6/23,623,2015,A00021S112,155
2015/6/24,624,2015,A00021S112,232
2015/6/25,625,2015,A00021S112,137
2015/6/26,626,2015,A00021S112,103
2015/6/27,627,2015,A00021S112,152
2015/6/28,628,2015,A00021S112,145
2015/6/29,629,2015,A00021S112,97
2015/6/30,630,2015,A00021S112,140
2015/7/1,701,2015,A00021S112,188
2015/7/2,702,2015,A00021S112,157
2015/7/3,703,2015,A00021S112,173
2015/7/4,704,2015,A00021S112,302
2015/7/5,705,2015,A00021S112,393
2015/7/6,706,2015,A00021S112,123
2015/7/7,707,2015,A00021S112,191
2015/7/8,708,2015,A00021S112,127
2015/7/9,709,2015,A00021S112,160
2015/7/10,710,2015,A00021S112,202
2015/7/11,711,2015,A00021S112,101
2015/7/12,712,2015,A00021S112,435
2015/7/13,713,2015,A00021S112,219
2015/7/14,714,2015,A00021S112,193
2015/7/15,715,2015,A00021S112,261
2015/7/16,716,2015,A00021S112,257
2015/7/17,717,2015,A00021S112,238
2015/7/18,718,2015,A00021S112,404
2015/7/19,719,2015,A00021S112,699
2015/7/20,720,2015,A00021S112,237
2015/7/21,721,2015,A00021S112,229
2015/7/22,722,2015,A00021S112,194
2015/7/23,723,2015,A00021S112,157
2015/7/24,724,2015,A00021S112,158
2015/7/25,725,2015,A00021S112,332
2015/7/26,726,2015,A00021S112,368
2015/7/27,727,2015,A00021S112,146
2015/7/28,728,2015,A00021S112,129
2015/7/29,729,2015,A00021S112,164
2015/7/30,730,2015,A00021S112,180
2015/7/31,731,2015,A00021S112,142
2015/8/1,801,2015,A00021S112,272
2015/8/2,802,2015,A00021S112,263
2015/8/3,803,2015,A00021S112,130
2015/8/4,804,2015,A00021S112,136
2015/8/5,805,2015,A00021S112,148
2015/8/6,806,2015,A00021S112,118
2015/8/7,807,2015,A00021S112,179
2015/8/8,808,2015,A00021S112,267
2015/8/9,809,2015,A00021S112,376
2015/8/10,810,2015,A00021S112,110
2015/8/11,811,2015,A00021S112,191
2015/8/12,812,2015,A00021S112,203
2015/8/13,813,2015,A00021S112,179
2015/8/14,814,2015,A00021S112,205
2015/8/15,815,2015,A00021S112,319
2015/8/16,816,2015,A00021S112,403
2015/8/17,817,2015,A00021S112,164
2015/8/18,818,2015,A00021S112,198
2015/8/19,819,2015,A00021S112,178
2015/8/20,820,2015,A00021S112,173
2015/8/21,821,2015,A00021S112,196
2015/8/22,822,2015,A00021S112,283
2015/8/23,823,2015,A00021S112,501
2015/8/24,824,2015,A00021S112,164
2015/8/25,825,2015,A00021S112,286
2015/8/26,826,2015,A00021S112,203
2015/8/27,827,2015,A00021S112,226
2015/8/28,828,2015,A00021S112,235
2015/8/29,829,2015,A00021S112,326
2015/8/30,830,2015,A00021S112,412
2015/8/31,831,2015,A00021S112,146
2015/9/1,901,2015,A00021S112,166
2015/9/2,902,2015,A00021S112,203
2015/9/3,903,2015,A00021S112,744
2015/9/4,904,2015,A00021S112,593
2015/9/5,905,2015,A00021S112,365
2015/9/6,906,2015,A00021S112,247
2015/9/7,907,2015,A00021S112,195
2015/9/8,908,2015,A00021S112,157
2015/9/9,909,2015,A00021S112,162
2015/9/10,910,2015,A00021S112,200
2015/9/11,911,2015,A00021S112,195
2015/9/12,912,2015,A00021S112,485
2015/9/13,913,2015,A00021S112,781
2015/9/14,914,2015,A00021S112,185
2015/9/15,915,2015,A00021S112,208
2015/9/16,916,2015,A00021S112,261
2015/9/17,917,2015,A00021S112,261
2015/9/18,918,2015,A00021S112,312
2015/9/19,919,2015,A00021S112,672
2015/9/20,920,2015,A00021S112,708
2015/9/21,921,2015,A00021S112,266
2015/9/22,922,2015,A00021S112,170
2015/9/23,923,2015,A00021S112,117
2015/9/24,924,2015,A00021S112,219
2015/9/25,925,2015,A00021S112,216
2015/9/26,926,2015,A00021S112,592
2015/9/27,927,2015,A00021S112,719
2015/9/28,928,2015,A00021S112,171
2015/9/29,929,2015,A00021S112,101
2015/9/30,930,2015,A00021S112,275
2015/10/1,1001,2015,A00021S112,787
2015/10/2,1002,2015,A00021S112,791
2015/10/3,1003,2015,A00021S112,672
2015/10/4,1004,2015,A00021S112,368
2015/10/5,1005,2015,A00021S112,445
2015/10/6,1006,2015,A00021S112,408
2015/10/7,1007,2015,A00021S112,275
2015/10/8,1008,2015,A00021S112,158
2015/10/9,1009,2015,A00021S112,168
2015/10/10,1010,2015,A00021S112,285
2015/10/11,1011,2015,A00021S112,801
2015/10/12,1012,2015,A00021S112,232
2015/10/13,1013,2015,A00021S112,178
2015/10/14,1014,2015,A00021S112,153
2015/10/15,1015,2015,A00021S112,174
2015/10/16,1016,2015,A00021S112,195
2015/10/17,1017,2015,A00021S112,370
2015/10/18,1018,2015,A00021S112,462
2015/10/19,1019,2015,A00021S112,190
2015/10/20,1020,2015,A00021S112,138
2015/10/21,1021,2015,A00021S112,174
2015/10/22,1022,2015,A00021S112,179
2015/10/23,1023,2015,A00021S112,217
2015/10/24,1024,2015,A00021S112,420
2015/10/25,1025,2015,A00021S112,440
2015/10/26,1026,2015,A00021S112,199
2015/10/27,1027,2015,A00021S112,189
2015/10/28,1028,2015,A00021S112,185
2015/10/29,1029,2015,A00021S112,125
2015/10/30,1030,2015,A00021S112,246
2015/10/31,1031,2015,A00021S112,494
2015/11/1,1101,2015,A00021S112,548
2015/11/2,1102,2015,A00021S112,199
2015/11/3,1103,2015,A00021S112,179
2015/11/4,1104,2015,A00021S112,111
2015/11/5,1105,2015,A00021S112,142
2015/11/6,1106,2015,A00021S112,185
2015/11/7,1107,2015,A00021S112,339
2015/11/8,1108,2015,A00021S112,466
2015/11/9,1109,2015,A00021S112,180
2015/11/10,1110,2015,A00021S112,189
2015/11/11,1111,2015,A00021S112,253
2015/11/12,1112,2015,A00021S112,78
2015/11/13,1113,2015,A00021S112,147
2015/11/14,1114,2015,A00021S112,330
2015/11/15,1115,2015,A00021S112,428
2015/11/16,1116,2015,A00021S112,154
2015/11/17,1117,2015,A00021S112,127
2015/11/18,1118,2015,A00021S112,168
2015/11/19,1119,2015,A00021S112,135
2015/11/20,1120,2015,A00021S112,242
2015/11/21,1121,2015,A00021S112,322
2015/11/22,1122,2015,A00021S112,530
2015/11/23,1123,2015,A00021S112,188
2015/11/24,1124,2015,A00021S112,200
2015/11/25,1125,2015,A00021S112,224
2015/11/26,1126,2015,A00021S112,240
2015/11/27,1127,2015,A00021S112,262
2015/11/28,1128,2015,A00021S112,475
2015/11/29,1129,2015,A00021S112,507
2015/11/30,1130,2015,A00021S112,233
2015/12/1,1201,2015,A00021S112,170
2015/12/2,1202,2015,A00021S112,136
2015/12/3,1203,2015,A00021S112,127
2015/12/4,1204,2015,A00021S112,194
2015/12/5,1205,2015,A00021S112,311
2015/12/6,1206,2015,A00021S112,533
2015/12/7,1207,2015,A00021S112,178
2015/12/8,1208,2015,A00021S112,133
2015/12/9,1209,2015,A00021S112,83
2015/12/10,1210,2015,A00021S112,61
2015/12/11,1211,2015,A00021S112,261
2015/12/12,1212,2015,A00021S112,667
2015/12/13,1213,2015,A00021S112,439
2015/12/14,1214,2015,A00021S112,243
2015/12/15,1215,2015,A00021S112,167
2015/12/16,1216,2015,A00021S112,226
2015/12/17,1217,2015,A00021S112,203
2015/12/18,1218,2015,A00021S112,198
2015/12/19,1219,2015,A00021S112,533
2015/12/20,1220,2015,A00021S112,426
2015/12/21,1221,2015,A00021S112,229
2015/12/22,1222,2015,A00021S112,217
2015/12/23,1223,2015,A00021S112,188
2015/12/24,1224,2015,A00021S112,159
2015/12/25,1225,2015,A00021S112,365
2015/12/26,1226,2015,A00021S112,444
2015/12/27,1227,2015,A00021S112,562
2015/12/28,1228,2015,A00021S112,199
2015/12/29,1229,2015,A00021S112,157
2015/12/30,1230,2015,A00021S112,250
2015/12/31,1231,2015,A00021S112,432
2016/1/1,101,2016,A00021S112,1300
2016/1/2,102,2016,A00021S112,851
2016/1/3,103,2016,A00021S112,499
2016/1/4,104,2016,A00021S112,135
2016/1/5,105,2016,A00021S112,177
2016/1/6,106,2016,A00021S112,154
2016/1/7,107,2016,A00021S112,172
2016/1/8,108,2016,A00021S112,222
2016/1/9,109,2016,A00021S112,445
2016/1/10,110,2016,A00021S112,531
2016/1/11,111,2016,A00021S112,146
2016/1/12,112,2016,A00021S112,180
2016/1/13,113,2016,A00021S112,183
2016/1/14,114,2016,A00021S112,238
2016/1/15,115,2016,A00021S112,260
2016/1/16,116,2016,A00021S112,642
2016/1/17,117,2016,A00021S112,674
2016/1/18,118,2016,A00021S112,265
2016/1/19,119,2016,A00021S112,278
2016/1/20,120,2016,A00021S112,267
2016/1/21,121,2016,A00021S112,232
2016/1/22,122,2016,A00021S112,226
2016/1/23,123,2016,A00021S112,512
2016/1/24,124,2016,A00021S112,536
2016/1/25,125,2016,A00021S112,337
2016/1/26,126,2016,A00021S112,310
2016/1/27,127,2016,A00021S112,257
2016/1/28,128,2016,A00021S112,246
2016/1/29,129,2016,A00021S112,287
2016/1/30,130,2016,A00021S112,706
2016/1/31,131,2016,A00021S112,812
2016/2/1,201,2016,A00021S112,486
2016/2/2,202,2016,A00021S112,386
2016/2/3,203,2016,A00021S112,475
2016/2/4,204,2016,A00021S112,481
2016/2/5,205,2016,A00021S112,477
2016/2/6,206,2016,A00021S112,402
2016/2/7,207,2016,A00021S112,184
2016/2/8,208,2016,A00021S112,233
2016/2/9,209,2016,A00021S112,260
2016/2/10,210,2016,A00021S112,344
2016/2/11,211,2016,A00021S112,245
2016/2/12,212,2016,A00021S112,246
2016/2/13,213,2016,A00021S112,165
2016/2/14,214,2016,A00021S112,219
2016/2/15,215,2016,A00021S112,150
2016/2/16,216,2016,A00021S112,121
2016/2/17,217,2016,A00021S112,135
2016/2/18,218,2016,A00021S112,120
2016/2/19,219,2016,A00021S112,101
2016/2/20,220,2016,A00021S112,241
2016/2/21,221,2016,A00021S112,256
2016/2/22,222,2016,A00021S112,132
2016/2/23,223,2016,A00021S112,126
2016/2/24,224,2016,A00021S112,107
2016/2/25,225,2016,A00021S112,52
2016/2/26,226,2016,A00021S112,166
2016/2/27,227,2016,A00021S112,354
2016/2/28,228,2016,A00021S112,365
2016/2/29,229,2016,A00021S112,139
2016/3/1,301,2016,A00021S112,114
2016/3/2,302,2016,A00021S112,143
2016/3/3,303,2016,A00021S112,133
2016/3/4,304,2016,A00021S112,272
2016/3/5,305,2016,A00021S112,612
2016/3/6,306,2016,A00021S112,562
2016/3/7,307,2016,A00021S112,179
2016/3/8,308,2016,A00021S112,99
2016/3/9,309,2016,A00021S112,106
2016/3/10,310,2016,A00021S112,95
2016/3/11,311,2016,A00021S112,165
2016/3/12,312,2016,A00021S112,363
2016/3/13,313,2016,A00021S112,300
2016/3/14,314,2016,A00021S112,140
2016/3/15,315,2016,A00021S112,102
2016/3/16,316,2016,A00021S112,165
2016/3/17,317,2016,A00021S112,156
2016/3/18,318,2016,A00021S112,196
2016/3/19,319,2016,A00021S112,482
2016/3/20,320,2016,A00021S112,524
2016/3/21,321,2016,A00021S112,200
2016/3/22,322,2016,A00021S112,174
2016/3/23,323,2016,A00021S112,166
2016/3/24,324,2016,A00021S112,159
2016/3/25,325,2016,A00021S112,241
2016/3/26,326,2016,A00021S112,439
2016/3/27,327,2016,A00021S112,567
2016/3/28,328,2016,A00021S112,198
2016/3/29,329,2016,A00021S112,164
2016/3/30,330,2016,A00021S112,177
2016/3/31,331,2016,A00021S112,162
2016/4/1,401,2016,A00021S112,198
2016/4/2,402,2016,A00021S112,294
2016/4/3,403,2016,A00021S112,495
2016/4/4,404,2016,A00021S112,697
2016/4/5,405,2016,A00021S112,254
2016/4/6,406,2016,A00021S112,128
2016/4/7,407,2016,A00021S112,159
2016/4/8,408,2016,A00021S112,232
2016/4/9,409,2016,A00021S112,525
2016/4/10,410,2016,A00021S112,602
2016/4/11,411,2016,A00021S112,205
2016/4/12,412,2016,A00021S112,180
2016/4/13,413,2016,A00021S112,219
2016/4/14,414,2016,A00021S112,240
2016/4/15,415,2016,A00021S112,281
2016/4/16,416,2016,A00021S112,284
2016/4/17,417,2016,A00021S112,653
2016/4/18,418,2016,A00021S112,205
2016/4/19,419,2016,A00021S112,196
2016/4/20,420,2016,A00021S112,127
2016/4/21,421,2016,A00021S112,221
2016/4/22,422,2016,A00021S112,254
2016/4/23,423,2016,A00021S112,137
2016/4/24,424,2016,A00021S112,508
2016/4/25,425,2016,A00021S112,159
2016/4/26,426,2016,A00021S112,161
2016/4/27,427,2016,A00021S112,200
2016/4/28,428,2016,A00021S112,233
2016/4/29,429,2016,A00021S112,320
2016/4/30,430,2016,A00021S112,964
2016/5/1,501,2016,A00021S112,1255
2016/5/2,502,2016,A00021S112,592
2016/5/3,503,2016,A00021S112,330
2016/5/4,504,2016,A00021S112,294
2016/5/5,505,2016,A00021S112,155
2016/5/6,506,2016,A00021S112,321
2016/5/7,507,2016,A00021S112,286
2016/5/8,508,2016,A00021S112,350
2016/5/9,509,2016,A00021S112,93
2016/5/10,510,2016,A00021S112,180
2016/5/11,511,2016,A00021S112,202
2016/5/12,512,2016,A00021S112,206
2016/5/13,513,2016,A00021S112,205
2016/5/14,514,2016,A00021S112,533
2016/5/15,515,2016,A00021S112,295
2016/5/16,516,2016,A00021S112,218
2016/5/17,517,2016,A00021S112,208
2016/5/18,518,2016,A00021S112,181
2016/5/19,519,2016,A00021S112,177
2016/5/20,520,2016,A00021S112,123
2016/5/21,521,2016,A00021S112,171
2016/5/22,522,2016,A00021S112,432
2016/5/23,523,2016,A00021S112,175
2016/5/24,524,2016,A00021S112,190
2016/5/25,525,2016,A00021S112,154
2016/5/26,526,2016,A00021S112,168
2016/5/27,527,2016,A00021S112,267
2016/5/28,528,2016,A00021S112,230
2016/5/29,529,2016,A00021S112,704
2016/5/30,530,2016,A00021S112,305
2016/5/31,531,2016,A00021S112,147
2016/6/1,601,2016,A00021S112,183
2016/6/2,602,2016,A00021S112,181
2016/6/3,603,2016,A00021S112,154
2016/6/4,604,2016,A00021S112,505
2016/6/5,605,2016,A00021S112,665
2016/6/6,606,2016,A00021S112,179
2016/6/7,607,2016,A00021S112,258
2016/6/8,608,2016,A00021S112,224
2016/6/9,609,2016,A00021S112,942
2016/6/10,610,2016,A00021S112,694
2016/6/11,611,2016,A00021S112,486
2016/6/12,612,2016,A00021S112,134
2016/6/13,613,2016,A00021S112,344
2016/6/14,614,2016,A00021S112,306
2016/6/15,615,2016,A00021S112,277
2016/6/16,616,2016,A00021S112,404
2016/6/17,617,2016,A00021S112,310
2016/6/18,618,2016,A00021S112,645
2016/6/19,619,2016,A00021S112,690
2016/6/20,620,2016,A00021S112,185
2016/6/21,621,2016,A00021S112,307
2016/6/22,622,2016,A00021S112,283
2016/6/23,623,2016,A00021S112,237
2016/6/24,624,2016,A00021S112,279
2016/6/25,625,2016,A00021S112,288
2016/6/26,626,2016,A00021S112,563
2016/6/27,627,2016,A00021S112,130
2016/6/28,628,2016,A00021S112,206
2016/6/29,629,2016,A00021S112,305
2016/6/30,630,2016,A00021S112,297
2016/7/1,701,2016,A00021S112,253
2016/7/2,702,2016,A00021S112,317
2016/7/3,703,2016,A00021S112,463
2016/7/4,704,2016,A00021S112,295
2016/7/5,705,2016,A00021S112,154
2016/7/6,706,2016,A00021S112,239
2016/7/7,707,2016,A00021S112,215
2016/7/8,708,2016,A00021S112,281
2016/7/9,709,2016,A00021S112,411
2016/7/10,710,2016,A00021S112,497
